page,text,word_count,char_count
89," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
73 
that perform the first phrase of the melody part and are then followed by the second 
instrument, which consists of the ranad thum and saw u, which perform the remaining melody 
section to create the sense of musical interaction (Figure 3.22).  
 
Figure 3.22. An example of luk lo played by ranad ek and khong wong yai 
Transcription by the author.174 
 
Luk kut is another common compositional technique in Thai classical music. Similar to luk lo, 
luk kut functions by dividing instruments into two categories, in which a lead instrument 
performs a first melodic line, and the second instrument delivers the following melodic phrase. 
In contrast to luk lo, the melodic patterns of luk kut perform the opposite melodic direction to 
the first melodic lines, but are still based on the same rhythmic idea of the first pattern. In 
addition, luk kut can be understood as a call and response, like in early jazz, where two musical 
phrases are performed in the relevant context but are not necessarily exact in musical pitch 
(Figure 3.23).  
 
Figure 3.23: Example of luk kut. Transcription by the author. 
                                                        
174 Figure 3.23 and 3.33 were transcribed from “Sup Sangkhit” by The College of Dramatic Arts, Bangkok 
Thailand, <https://www.youtube.com/watch?v=KQbYyUCGoXo>( 8 September 2021). 
",215,1418
90," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
74 
Another technique, luk leuam (ลูกเหลื.อม), helps Thai composers generate interesting and complex 
musical ideas that can be implemented in accordance with Thai musical textures. As mentioned 
earlier, Thai classical music prioritizes featuring each instrument’s individual character. The 
purpose of the luk leuam technique is to highlight the character of a secondary instrument 
referred to as ranad thum, which has a playful role in Thai classical music and performs the 
primary melodic patterns of composition one beat ahead while being followed by the usual 
lead instrument, a ranad ek (Figure 3.24).175  
 
 
Figure 3.24: Luk leuam technique in “Kluen Kratob Fung.” 
 
One last compositional method of Thai classical music relevant to jazz composition is referred 
to as thang khap luk khap dok (ทางคาบลูกคาบดอก). This technique helps composers balance the 
compositional materials in Thai music. To apply thang khap luk khap dok, which is widely utilized 
in solo composition (phleng dio), Thai composers shift between instrumental ornaments—for 
example, between single melodic pitch tremolo (rua), and thang kep (an instrumental technique 
using a set of eight notes, mainly in an octave similar to plae thamnong techniques). This method 
can create irregular musical textures that musically produce more complicated rhythmic ideas 
and sophisticated melodic patterns. Thang khap luk khap dok also helps musicians of Thai 
classical music to pay tribute to the mastery of the teachers who have taught them how to 
practically utilize and musically organize such materials in the composition. Besides thang khap 
luk khap dok, other techniques that appear in Thai compositional methods include the use of a 
set of three grace notes (sabat, sadot) for melodic embellishment sections, or the implementation 
of continuous sixteenth notes in idiomatic improvisation to create an intensity in texture known 
as khayi (ขยี%). 
 
 
                                                        
175 The transcription of “Kluen Kratob Fung” was obtained from Uthit Naksawat’s book, Theory and Practice 
of Thai Classical Music, page 34.  
",319,2208
91," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
75 
3.3 PRELIMINARY COMPOSITIONS 
 
Based on what I have learned about these compositional methods in Thai music, I have applied 
elements of them to processes of jazz composition. One example of this is my arrangement of 
“Giant Steps” by John Coltrane, which uses the augmentation and diminution techniques 
employed in thao compositions (Figure 3.25). As can be seen, in the B section, I expand “Giant 
Steps” from its original 4/4 to a 5/4 time signature, which is inspired by thao compositional 
approaches. Subsequently, I reduce the time signature of this section from 5/4 to 4/4, then to 
3/4, in the way Thai composers generate thao compositions, which begin with sam chan, song 
chan, and chan dio. To provide add more complexity, in the C section, I additionally displace 
these three different time signatures to give the illusion of irregular meters.176 
 
Figure 3.25: Arrangement of “Giant Steps” inspired by thao compositional technique. 
                                                        
176 See Appendix A.2 for a full score. 
",168,1119
92," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
76 
A second example is my original composition “Nanapa,”177 where I apply several Thai classical 
compositional techniques to create a contemporary jazz composition (Figure 3.26). The 
introduction of this composition (A section), begins with thang kro (tremolo), widely found in 
the introduction sections of Thai classical music pieces. This is followed by the C section, 
whose use of luk yon (sustained pitches) contributes the sound of pedal points to the music 
before moving to the thematic melody section in the D section. In the E section, I divide the 
melody parts for use in a call and response context and provided this particular melodic line in 
two separate sections that can be interpreted as being in luk lo (5/4 section) and luk kut (6/4 
section). Lastly, I employ melodic variation (thang plien) in the F section, and include the ending 
cadence pattern luk mot, to support the composition and give it the character of Thai music. 
For this luk mot, I partially incorporate the cadence pattern for the luk mot used in Khaek Toi 
Moh.  
 
 
 
 
Figure 3.26a: Thai compositional techniques employed in “Nanapa.”  
Composed by the author. 
                                                        
177 Appendix A.3 contains the complete score of “Nanapa. 
",205,1341
93," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
77 
 
Figure 3.26b: Thai compositional techniques employed in “Nanapa,” continued.  
 
3.4 SACRED CEREMONIES 
 
As I have shown, applying the perspectives of Western musical analysis can assist in 
understanding elements of Thai classical music that may be relevant to hybrid-style approaches 
to jazz composition. Understanding the sacred and spiritual doctrine of Thai people’s belief is 
also an important element of understanding Thai classical music. Before performing Thai 
music, Thai musicians usually hold their hands together tightly with the sticks of their 
instruments and then bring them above their heads, which their minds follow by contemplating 
their deities, teachers, and parents to appreciate the spiritual moments and musical knowledge 
that they have received, and also to pay respect to the instrumental spirits that they believe are 
symbolically embodied by Thai musical instruments. 
 
The hierarchy of Thai music compositions used in sacred ceremonies can also be observed in 
three different types of pieces, namely, 1) phleng khru (respected pieces) 2) phleng saksit (sacred 
pieces which must be respected), and 3) phleng suung (เพลงสูง) (restricted pieces which must be 
highly respected).178 All such music types may also be located in the phleng naphat category, 
which explicitly contains inconstant melodic lines, free rhythmic approaches, and asymmetrical 
measures,179 and which generate opposite perceptions to the lyrical music types demonstrated 
earlier. To learn such music, Thai musicians must strictly acquire knowledge from their 
teachers, who will carefully provide the musical knowledge of phleng naphat according to a 
student’s level of musicianship. Typical names of compositions in phleng naphat include 
“Saathukarn”—a musical piece of worship of the three gems of Buddhism; “Tra Homrong,” 
“Tra Choen,”(ตระเชิญ) “Tra Sannitbat”—musical pieces used for the deities’ invitation;180 “Rua 
Sam La”—a particular composition that invokes the act of the deities’ salutation and 
demonstration of their powers; “Choet”(เชิด)—a musical composition of the processional 
                                                        
178 Wong, Sounding the Center: History and Aesthetics in Thai Buddhist Performance, 104. 
179 Ibid., 105. 
180 Naksawat, Thai music theory and how to practice, 122. 
",334,2406
94," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
78 
journey to human realms; “Klom”—a musical piece for the arrival of the deities and all the 
divine music master sprits; “Kraao Nai” (กราวใน)—a piece anticipating the invitation of the 
highest god and the most Sacred demon deity; and “La”(ลา) —a composition played to indicate 
that all deities and spirits are assembled.181 
 
In Wong’s book, Sounding the Center: History and Aesthetics in Thai Buddhist Performance, Montri 
Tramote explicitly categorizes the hierarchy of learning this musical tradition in five levels. 
Students progress through each level of the hierarchy as they develop their performance 
practices for sacred ceremonies (khrop kru). Tramote describes the five levels as follows. The 
first level is an initiation in which a student takes flowers, incense, a candle, and a designated 
amount of money to the teacher, who will later grasp the student’s hands and start to play the 
first piece of traditional Thai music called “Saathukarn” on a khong wong yai in the first 
ceremony. The second level proceeds only after the student has completely learned the evening 
overture (the standard ritual music repertoire). In the second ceremony, the teacher again 
grasps the student’s hands and plays the beginning of the ritual piece “Tra Homrong.” For the 
third level, the student begins to learn the daytime overture from the intermediate naphat 
repertoire, and at this level’s ceremony, the teacher will grasp the student’s hands and play a 
special piece, called “Tra Baungkarn” (ตระบองกัน).182 In the fourth level, the student must begin 
to study the complicated and high-level ritual pieces in the phleng naphat category. And, in the 
sacred ceremony at this level, the teacher will grasp the student’s hands and play 
“Basstaskuunii” (บาทสกุณี). For the highest level, the fifth level, the student begins to study the 
highest piece in the naphat category known as “Ong Phra Phiraap.” Before studying this piece, 
the student must be over thirty years old and have been ordained as a Buddhist monk (for male 
students).183 These five levels of sacred ceremonies play an important part in every Thai classical 
musician’s education and are of high concern to the traditional music practices in Thai classical 
music, of which any cross-cultural composers working on Thai classical music projects should 
be appropriately considerate and aware. 
 
 
 
                                                        
181 See more details in Tramote. Thai music studies 2nd edition, 81-88, and Wong, Sounding the Center: History and 
Aesthetics in Thai Buddhist Performance, 119-123. 
182 Narongchai Pidokrajt, “Music of the Na-phaat repertoire - the connection of emotion and imagination,” Journal 
of Fine and Applied Arts Khon Kaen University 6 Vol. 2 (2014), 101. 
183 Wong, Sounding the center: History and Aesthetics in Thai Buddhist Performance, 120-127. 
",446,2953
95," 
CHAPTER 3: Identifying Musical Elements of dontri thai doem 
 
 
79 
3.5 SUMMARY AND CONCLUSION  
 
Thailand’s musical diversity is a product of the country’s extensive history of social, cultural, 
and ethnic diversity. This notion has also resulted in Thai musicians being more open to foreign 
cultures, as evidenced by their use of foreign instruments and adoption of what they call foreign 
musical accents. For Thai classical music, each ensemble has its own unique way of tuning their 
instruments, which is referred to as “intonation diversity,” an important considering when 
undertaking a project of musical hybridization of Thai music with music for jazz orchestra.  
 
Despite that diversity, many Thai instruments produce pitches in, or close to, Western tuning, 
which can be transcribed in Western staff notation as approximations. Thai classical music, 
unlike Western music, contains no harmonic progression; instead, it is composed of multiple 
distinct lines in the style of thang khrueang dontri. Thai musical textures can relate to idiomatic 
heterophony or polyphonic stratification depending on the style of composition. Two concepts 
of Thai rhythm that are important are jangwa ching, and jangwa nathap, which function as a 
musical gauge for Thai classical musical performances. These two notions are also strongly 
connected to chan, which refers to the ideal tempos and is divided into three levels: sam chan, 
song chan, and chan dio.  Rhythmic patterns of nathap propkai and nathap song mai also appear to be 
used as accompaniments for drum, bass, and piano parts. 
 
When writing thao compositions, composers of Thai classical music use the concept of chan, in 
which old traditional music pieces were diminished and expanded to produce a new work. In 
addition, this technique can be combined with other jazz compositional approaches to generate 
an innovative method for jazz arranging, as demonstrated in my arrangement of “Giant Steps.” 
Other compositional approaches used in Thai classical music are comparable to those used in 
jazz, also include combining songs with similar melodic characters to create a suite (phleng ruang), 
or building extended sections, such as an introduction (luk yon) or an outro (luk mot). In 
addition, thang kro, luk leuam, luk lo, and luk kut all appear to be beneficial and provide distinct 
techniques effective in both arranging and composing for a small jazz ensemble, as evidenced 
in my preliminary work, “Nanapa.”
",382,2493
96,"80 
 
 
 
 
 
 
 
Chapter 4 
 
Investigating the Musical  
Aspects of dontri isan nuea 
(Traditional Music of  
Northeast Thailand) 
 
What makes Thai culture unique is not its isolation but its absorption of elements from its innumerable 
contacts with foreign cultures over many centuries, almost none of which were forced.184 
Terry E. Miller 
 
4.1 INTRODUCTION  
 
To provide background on dontri isan nuea (often shortened to isan nuea), this chapter begins 
with a brief overview of the musical cultures that constitute the traditional music of northeast 
Thailand. I then examine the performance methods and musical instruments of isan nuea.  
I also include transcriptions of a number of isan nuea performances, each of which has provided 
insight into my compositional work. Following that, I investigate the use of lai (modes in isan 
nuea), discuss these modes’ distinctive meanings, and demonstrate some of the musical overlaps 
between a particular lai, lai se, and common elements of jazz performance. In addition, I include 
my full transcription of “Lai Teay Khong” performed by Sombat Simlah, the khaen master 
                                                        
184 Miller, “Appropriating the Exotic: Thai Music and the Adoption of Chinese Elements,” 143. 
",183,1281
97," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
81 
from Mahasarakham Province, to provide an in-depth example of an isan nuea performance. 
Through my preliminary works, I offer several compositional approaches for incorporating 
isan nuea melodies, such as “Lai Ka Ten Kon” and “Lai Nok Sai Bin Kham Thung,” into jazz 
compositions. To close the chapter, I briefly discuss a traditional isan nuea singing style called 
mawlum, drawing on work by both Terry E. Miller and Chaweewan Dumnern. 
 
THE TRADITIONAL MUSIC OF NORTHEAST THAILAND (DONTRI ISAN 
NUEA) 
 
According to Charoen Chaichonphairote,185 three prominent and distinct musical cultures that 
have been in practice in the northeast Thailand include: 1) the musical culture of the upper area 
of the region (isan neua), which consists of fourteen provinces, mainly influenced by Thai-Lao 
ethnic groups; 2) the musical practices of the lower area known as isan tai (อีสานใต้)(which refers 
to the south), consisting of three provinces, primarily influenced by Khmer music; and 3) the 
musical culture of the Thai-Khorat people located in Nakhon Ratchasima Province—which 
has partly influenced the music culture of central Thailand. I focus here on the music of the 
Thai-Lao upper area (isan nuea), and on the ways I have adapted this music in my hybridization 
processes as a composer. 
 
This particular style of music depicts the way of life of Thai-Lao communities who live in the 
wide plain area where the Mekong River is a symbol of the people’s lives and is crucial to their 
survival—particularly for the region’s agriculture, as the weather can be harsh and marked by 
extreme drought, especially during the summer, from late January to the middle of May. 
Consequently, the sound of music from isan nuea serves as the musical expression of its people, 
who sing and play instruments to heal their suffering in such hostile weather conditions—
communicating with local spirits186 for encouragement when they are sick (lum phi faa), 
entertaining themselves after finishing work in a paddy field, or providing music for their 
religious processions (hae)(แห่), such as hae bangfai (แห่บั%งไฟ), or hae phawet (แห่ผะเหวด). 
                                                        
185 Charoen Chaichonphairote is a prominent Thai ethnomusicologist specializing in the traditional music of 
northeast Thailand and has been teaching at Mahasarakham University—where the musical culture of 
northeastern Thailand is largely practiced. For more details on the historical musical knowledge of northeastern 
Thai music, please see Charoen Chaichonphairote’s book, The Traditional music of northeast Thailand, (Bangkok: 
Srinakharinwirot University press, 1983). 
186 Even though the musical practices of northeast Thailand seem to be less ceremonial when compared to Thai 
classical music, the practice of wai khru (paying respect to the teachers) and other ceremonial music used to praise 
local spirits—in particular for Phaya Tan (พญาแถน)—still can be observed in the region and its style. 
",457,3083
98," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
82 
4.2 PITCH AND INSTRUMENTS 
 
The traditional music of northeastern Thailand uses a set of seven diatonic pitches similar to 
those in Thai classical music, and its melodic structures are also predominantly based on a 
penta-centric concept. The original tuning systems of isan nuea music were developed from 
diverse methods in disparate provinces—a subject that needs more evidence-based research to 
prove various hypotheses on the original tuning practices in remote areas.187 However, 
nowadays, some instruments from this musical region have been widely produced by adapting 
the Western tuning system (A=440) as their standard, a process which is referred to as sieng 
sakon. These instruments can be performed with Western instruments, and their performances 
lend themselves to transcription in Western notation more efficiently than those of Thai 
classical music. One of the limitations that seems to occur with isan nuea musical instruments, 
from my perspective as a jazz composer, is that one instrument is only capable of playing in 
one key (e.g., khaen in Am, or wot in Dm), which may cause difficulty for isan nuea performers 
when employing key modulation. (Isan nuea musicians prefer to refer to the key of their musical 
instruments in the minor). To begin the discussion, I describe the use of isan nuea instruments 
and how they can function in a jazz composer’s setting. 
 
KHAEN 
 
A khaen is a bamboo mouth-organ used in northeast Thailand and Laos.188 When performing, 
the player covers the small holes that have been drilled in each small pipe, located on the left 
and right sides. The range of the instrument is the two-octave diatonic scale for a khaen paet 
(with sixteen pipes in total on the two sides), which is commonly employed in isan nuea music. 
Other instruments in the khaen family consist of 1) khaen hok, the smallest organ (six pipes in 
total, e.g., the khaen hok in G is capable of producing G, A, C, D, E, and G­ , 2) khaen jed 
(fourteen pipes in total—e.g., a khaen jed in Am—consisting of A, B, C, D, E, F, G, A­,  B ­, 
C­, D,­ E,­, and F ­, i.e., less than two octaves), and 3) khaen kao, the biggest organ (with 
eighteen pipes in total, a khaen kao in Am is capable of producing A, B, C, D, E, G, A­,  B ­, 
                                                        
187 For more details on isan tuning system, see chapter Miller’s chapter, The Kaen Reed-Organ, its Description 
and History, “Kaen Playing and Mawlum Singing in Northeast Thailand,” (1977). 
188 Other bamboo mouth-organ-based instruments with different structures and names are also played in Vietnam 
and by ethnic minorities in South China. See, Sujit Wongthes, “Thai Music refers to the musical practice of center 
Thailand, other musical regions are excluded.” Matichon online  
< https://www.matichon.co.th/columnists/news_210907>, (13 July 2016).  
",470,2952
99," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
83 
C­, D,­ E,­, F ­, G­, A­­,  G­­, and C­­). Please note that multiple pipes on the same khaen 
may produce the same pitch.189  
 
The khaen paet (sixteen-pipe model) is the instrument that most frequently appears in isan nuea 
performances. It is also capable of performing as a solo instrument or accompanying a singer, 
also known as molam. Unlike the fingering of Western music mouth-organs, which are 
sequentially arranged from lower pitches to higher pitches, the fingerings used to play a khaen 
paet can be disorienting, but are effective for the pentatonic concepts and traditional melodies 
of isan nuea (Figure 4.1).190  
 
Figure 4.1: Khaen paet’s fingering. The right hand’s fingers move among the adjacent 
right-hand pipes (1–8), while the fingers of the left hand do the same for the left had 
pipes (9–16). 
 
Another striking characteristic produced by the khaen is a drone. Similar to Hindustani classical 
and Carnatic music in India, the use of sustained pitches—known as sieng sep (เสียงเสพ)—can be 
also observed in khaen performances. A set of such sustained pitches, consisting of the root, 
P4, P5, and octave notes which are explicitly heard in isan nuea music are produced when the 
khaen player consistently covers the holes corresponding with those pitches with their fingers. 
Alternatively, players fill such holes with adhesive substances called kitsoot 191 when performing 
to produce the same effect.   
 
The primary role of the khaen in isan nuea can also be observed as that of a lead instrument, 
with the instrument providing a tuning pitch for ensembles, and musical adjustments of 
dynamics, articulations, and tempos when performing in a group. One of the most important 
musical elements in isan nuea music is called lai. This term denotes the modes and melodic lines 
                                                        
189 Sumrongthong et al., “Thai Music Culture: North Isan Region” (National Research Funding), (Bangkok: 
Chulalongkorn University, 2017), 254-257. 
190 Christopher Adler, “Khaen the bamboo free-reed mouth organ of Laos and Northeast Thailand: Notes for 
Composers,” <http://christopheradler.com/khaen-for-composers.pdf> (17 June 2020). 
191 Kitsoot is black, sticky beeswax. See, Miller, “Kaen Playing and Mawlum Singing in Northeast Thailand,” 48. 
",355,2396
100," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
84 
of traditional compositions, and was also originally generated from khaen performance, with 
isan nuea musicians identifying the concept as lai mae bot (fundamental modes).192 Experienced 
or respected khaen players in communities are also appreciated as maw khaen, which is a title 
given to an honorable, skilled khaen master who plays a crucial role in the oral tradition of this 
musical style.  
 
PHIN 
 
The phin is a small fretted lute consisting of two, three, or four strings that can be performed 
as a solo instrument, or to accompany singers or other instruments in a musical ensemble 
context (often alongside the khaen). The tuning system of the phin is also fascinating, as it can 
be based on different provinces’ perspectives (and thus is quite diverse), and must be adjusted 
to the sound of a drone (similar to a khaen) in each composition. For example, Chulalongkorn 
University academics discovered the notion of the lai noi tuning system, which was founded in 
Nong Kai Province and is tuned to D-A-G193—in contrast to Terry Miller’s study on lai noi, 
from a different region where the instrument is tuned to A-D-A.194  
 
Based on my work with phin performers in 2016–2017 with the Faculty of Music, Silpakorn 
University, and similar to Apiruk Phoosanga’s research195, several standard tuning techniques 
are now commonly used in phin performances, in contrast to regional tuning methods. These 
systems are divided into three categories for a three-string phin: 1) E-A-E (the most widely-
used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A; 
2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E-
B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—the 
lowest pitch—while the second refers to the second string, and so on). When playing the phin, 
isan nuea musicians also use a plectrum, or pick, that was originally made of buffalo or cow 
horns. Nowadays, the pick often comprises of any plastic products that are easily found in 
communities. Phin players even sometimes use modern guitar picks to pluck the instrument’s 
strings.  
                                                        
192 Sitthisak Champadaeng et al.,“Isan Khaen Player: Technique, Method, and Success in Playing,” Journal of 
Humanities and Social Sciences Mahasarakham University 38, no.1, 64. 
193 Sumrongthong et al.,“Thai Music Culture: North Isan Region, 260. 
194 Miller and Williams, The Garland Handbook of Southeast Asian Music, 172. 
195 Apiruk Phoosanga, “Lai Pin lsan: Compositional Technique and Performance Styles of Thongsai Tuptanon 
and Boomma Kaowong,” Master’s thesis, Mahasarakham University, (2019), 9. 
",434,2833
101," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
85 
To practically understand how the phin can function, I transcribed two solo pieces, “Lai Ka 
Ten Kon (ลายกาเต้นก้อน)”196 (“crows dancing over the rocks”) by Thongsai Thabthanon—a phin 
master from Ubon Ratchathnai Province, (Figure 4.2) and “Lai Kaeo Na Ma (ลายแก้วหน้าม้า),”197 
(“a house’s face”) live-recorded by Boomma Kaowong (Figure 4.3), one of the most-respected 
traditional phin masters in isan nuea music from Kalasin Province. Thongsai Thabthanon’s 
stylistic performance is regarded as one of the forerunners of modern phin performance, using 
an electric phin (a phin with a pickup) in isan nuea ensembles. He is also known for being one of 
the prominent isan nuea musicians to record phleng luk thung (Thai folk songs) with a phin. His 
performances can also be heard in a number of isan nuea films, which I listened to several times 
before deciding to transcribe his performance. Boomma Kaowong, a visually impaired phin 
master, is acclaimed by isan musicians as the maestro of three-string phin and one of the most 
rhythmically skilled phin performers in isan performance. Additionally, he produced numerous 
modern isan nuea melodies still widely used in the phin repertoire. 
 
Figure 4.2: “Lai Ka Ten Kon.” Transcription by the author. 
                                                        
196 Figure 4.2 was transcribed from Thongsai Thabthanon’s performance of “Lai Ka Ten Kon” (0.00-0.29) 
<https://www.youtube.com/watch?v=_DIi4Me1pG0> uploaded by Thongbass Thapthanon, (6 November 
2021). 
197 Boomma Kaowong’s performance of “Lai Kaeo Na Ma” in Figure 4.3 was transcribed from 
<https://www.youtube.com/watch?v=2ZFZRmIkEuI> (1.27- 1.52) uploaded by  
Mark Apirak (14 August 2019). 
",254,1792
102," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
86 
 
Figure 4.3: “Lai Kaeo Na Ma.” Transcription by the author. 
 
As the transcriptions in Figures 4.2 and 4.3 demonstrate, phin performances are primarily based 
on the construction of pentatonic scales, which in these cases are D and G minor pentatonic 
scales. From a vertical compositional perspective, these two transcriptions also illustrate that 
the construction of phin performance can be built on both a single pitch and two pitches, which 
primarily build up from minor 3rd, P4, P5, minor 7th, and an octave; alternatively, the players 
play a set of three pitches, which usually build up from M2 and P4, and are equivalent to a 
suspended chord in jazz harmony. In my transcriptions of “Lai Kaeo Na Ma” I have included 
articulation marks to show various characteristics of phin performance. For example, a phin 
player may accent the upbeat in order to provide strength in a syncopated rhythm when the 
phin is being used to accompany traditional isan nuea dances. Interestingly, these rhythmic 
accents appear to be comparable to a swing feel, which is commonly stressed on upbeats while 
playing in eighth-note settings. Similar to khaen performance, both compositions use drones 
(sieng sep)—on the note D in the melodic patterns of “Lai Ka Ten Kon” and the note G in the 
“Lai Kaeo Na Ma” melody. Both are also based on the penta-centric concept. In addition, 
sixteenth notes are used in these two compositions to offer the performances a rhythmic 
intensity. 198 
 
PONG LANG  
 
Pong lang is a melodic percussion instrument (a wooden xylophone) employed in different types 
of ensembles in isan nuea music. It was originally designed in Kalasin province to be used as a 
signal indicator for annual events in communities, and to expel crows out of paddy fields. The 
                                                        
198 Appendix C.5-C.6 contains the MIDI files for figures 4.2 and 4.3. 
",314,1990
103," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
87 
pong lang originally consisted of six distinct wooden bars that produced five different sounds 
that related to a major pentatonic scale (e.g., G A C D E).199 Pleuang Chairasmee (1932 - 
2007),200 a national artist and a Kalasin native, expanded the range of the pong lang by adding 
extra wooden bars to the instrument, allowing it to produce six unique pitches, which became 
a common tuning system for the instrument.201 In addition, the tuning system of pong lang was 
modified to include the seven distinct pitches of the Western diatonic scale, allowing the 
instrument to participate in Western music ensembles. (Figure 4.4 illustrates three distinct pong 
lang tuning systems, consisting of traditional tuning, standard tuning, and seven-pitch diatonic 
tuning.)  
 
Figure 4.4: Pong lang tuning systems. 
 
Unlike Western xylophones, whose bars lay flat, the wooden bars of pong lang are tied together 
and hung on two vertical poles of differing heights, resulting in a profile similar to a right 
triangle. The pong lang can be played by either one or two players. When it is played by two 
players, the one person plays melodic patterns, and the other plays a set of drones. It is also 
used as a solo instrument or to accompany traditional dances, including seng phu thai (tribal 
dance) and dances called seng swing (fishing net), seng tum na (farming), and seng yae kai mod dang 
(เซิ%งแหย่ไข่มด)(hunting red ant eggs). Nowadays, pong lang instruments appear frequently in the 
                                                        
199 Pipop PinKaew, Pong Lang Performances, a written document used for an isan music teaching, (Udon Thani Rajabhat 
University, 2016), 1. 
200 For more details of Pleuang Chairasmee, please visit 
<http://www.culture.go.th/cul_fund/download/open/kruplueang/kruplueang1.pdf >. 
201 PinKaew, Pong Lang Performances, a written document used for an isan music teaching, 2-3.  
",298,2001
104," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
88 
Thai media, as well as in ensembles of cross-cultural music of a Thai pop-rock type, in regional 
music scenes, called lum sing.202 
 
For an example of pong lang, I transcribed a performance of “Lai Ka Ten Kon,” which is also 
part of the typical repertoire for pong lang solo performance (Figure 4.5). The recording I used 
is by Lamut Sapphat, a renowned isan nuea musician from Kalasin Province.203  His reputation 
extended to other provinces, in particular Khon Kaen, where he taught isan nuea music 
performance at Khon Kaen University, one of the country’s most recognized music programs, 
which has made substantial contributions to isan nuea music research. I chose Lamut Sapphat’s 
performance of “Lai Ka Ten Kon” because of the relevance of several of the techniques 
utilized in this performance to the jazz composition and improvisation methods described 
below. 
 
In this performance, drones on the pitch A are heard throughout, and the entire melody is 
based on an A minor pentatonic scale. Similar to the performance on phin, upbeat accents are 
also heard throughout the performance. The pong lang player also provides accented staccato 
articulation on multiple downbeats to create a strong rhythmic sense, as in other types of dance 
composition of isan nuea. Interestingly, musical techniques that are similar to those of jazz 
composition and improvisation include: the use of a question and answer for constructing 
thematic melody parts (mm.3-8), melodic sequence (primarily built up from G-A-C-D in 
mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the 
red arrows in Figure 4.5).204 
                                                        
202 See, Priwan Nanongkham’s chapter, Influence of Modernization on Traditional music, “Modern Isan Music 
as Image: A Positive Identity for the People of Northeast Thailand,” PhD Diss., Kent State University (2011), 
341-344. 
203 Pong lang performance of “Lai Ka Ten Kon,” in Figure 4.5 was transcribed from Lamut Sapphat’s 
performances. <https://www.youtube.com/watch?v=Gre1UMVCKLk> (0.07-0.41) uploaded by Knarwijk 
Thotabutr (7 September 2020). 
204 The transcription’s MIDI file can be found in Appendix C.7. 
",338,2298
105," 
CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea 
 
 
89 
 
Figure 4.5: Pong lang performance of “Lai Ka Ten Kon.” Transcription by the author. 
 
KLONG HANG (LONG TAIL DRUMS) AND OTHER PERCUSSION 
 
The rhythm in isan nuea music is one of the notable musical characteristics. Because isan nuea 
instruments typically serve to accompany traditional dances, as a consequence, the rhythmic 
patterns in this particular music seem to be more aroused, excited, and more stimulated, in 
comparison with other regional musical practices in Thailand. The Thai word klong refers to 
membranophone instruments that uses to generate rhythm (jawang). And, for the isan nuea 
percussion category, it is klong hang or klong yao isan (a long tail drum), and ramana isan or klong 
teung (a medium-sized bass drum) that frequently appear in isan neua music. 
 
Klong hang produces three fundamental sounds: 1) Jo (the player uses the tip of their hand to 
make a treble sound); 2) Tung (the player applies the whole right hand to make a bass sound) 
and teung (same as the construction of tung sound but the player switches to a left hand); and 3) 
theng (the player either their left or right hand to make a bass sound out of the middle of the 
",208,1249
