page,feature_name,context,word_count,has_thai_music,has_jazz,has_ml_terms,has_fusion
11,thai_mode,igure 7.7: The first thematic melodies of “Phuen Ban.”                                         174  Figure 7.8: Piano solo from “Phuen Ban” mimicking thang dio ranad ek.             175  Figure 7.9: Trumpet soli from “Phuen Ban.”                                                             176  Figure 7.1,321,False,False,False,False
11,khaen,191  Figure 7.21:  The poem from “Patchim.”                                                                   192  Figure 7.22:  The imitation of khaen performance                                                    199  Figure 7.23:  The adaptation of “Lai Teay Khong.”,321,False,False,False,False
12,rhythm,221  Figure 7.39: The chord progressions of the first monologue in “Singora.”             222  Figure 7.40: The application of the lagu dua rhythmic pattern.                               223  Figure 7.41: Compositional techniques employed in the B section of “Singora.”  224  Figure 7.42: The original mel,347,False,False,False,False
12,jazz_chord,221  Figure 7.38: The bass part of “Singora.”                                                                    221  Figure 7.39: The chord progressions of the first monologue in “Singora.”             222  Figure 7.40: The application of the lagu dua rhythmic pattern.                               2,347,False,False,False,False
13,improvisation,254   Figure 7.72: E section of “the Northern Rhapsody.”                                               255  Figure 7.73: The first improvisation section of “The Northern Rhapsody.”          256  Figure 7.74: The second improvisation section of “The Northern Rhapsody.”     257  Figure 7.75: The,86,False,True,False,False
14,rhythm,"ir  definitions. I use common transliterations of music terms that do not depart from the RTGS  system, such as jin (จีน) instead of chin, or jawang (จังหวะ) instead of chawang. This results in  inconsistent Romanization throughout this dissertation, but using common transliterations  of music terms assis",222,True,False,False,False
15,timbre,ru  เอะ เอ  e  เย็น = yen  แอะ แอ  ae        แสน = saen  โอะ โอ  o  โล้ = lo  เอาะ ออ  aw  ซอ = saw  เออะ เออ  oe  ดําเนิน = damnoen  เอียะ เอีย  ia  เสียง = siang  เอือะ เอือ  uea  เดือน = duean  อัวะ อัว  ua  ตัว = tua  ไอ ใอ อัย  ai  ใน =nai,163,True,False,False,False
15,piphat,"NOTES ON TRANSLITERATION      xv  ณ  น   n  n  นาฎศิลป์ = natasin, สากล =  sakon  บ   b  p  บั%งไฟ = bangfai, ฉาบ = chap  ป   p  p  ปี.พาทย์ = piphat  ผ พ ภ   ph  p  พิณ = phin  ฝ ฟ  f  p  ฟองนํ%า = fong namm  ม  m  m  หมอลํา = mawlum  ร  r  n  ระนาด = ranad  ล ฬ  l     n  ลาว = lao  ว  w    วง = w",163,True,False,False,False
15,khaen,"TERATION      xv  ณ  น   n  n  นาฎศิลป์ = natasin, สากล =  sakon  บ   b  p  บั%งไฟ = bangfai, ฉาบ = chap  ป   p  p  ปี.พาทย์ = piphat  ผ พ ภ   ph  p  พิณ = phin  ฝ ฟ  f  p  ฟองนํ%า = fong namm  ม  m  m  หมอลํา = mawlum  ร  r  n  ระนาด = ranad  ล ฬ  l     n  ลาว = lao  ว  w    วง = wong  ห ฮ  h    โหมโร",163,True,False,False,False
17,cross_cultural,"1                  Chapter 1    INTRODUCTION     The advice that I would like to give to someone who aspires to be a cross-cultural jazz composer is that  he or she should be concerned in both [types of] music, and he or she should study both of them deeply,  and the more deeply h",253,True,True,False,True
18,cross_cultural,"thesis and in my portfolio of compositions for jazz orchestra, both of which have been  informed by intensive research into examples and studies of cross-cultural music composition.   Importantly, my answers to these research questions are based on my artistic experiences as a  Thai-jazz musician from a modern,",382,True,True,False,True
19,rhythm,"llaise [sic].’”2 March forms are used in the ragtime  compositions of Scott Joplin, such as his famous “Maple Leaf Rag” (1899), and the three- stroke rhythmic patterns (tresillos) in Jelly Roll Morton’s “New Orleans Blues” show the clear  influence of Caribbean music.3 In addition, musical elements from the Caribbe",429,False,True,False,True
19,improvisation,"ear example of musical hybridity.  Afro-Cuban tumbao bass lines and the conga, an Afro-Cuban instrument of African origin,  were used alongside bebop improvisation and with other complex rhythms in a fast swing  context. Better-known examples of this hybridization process in Gillespie’s music include “A  Night i",429,False,True,False,True
19,cross_cultural,"s Blues” show the clear  influence of Caribbean music.3 In addition, musical elements from the Caribbean also played a  prominent role in the musical hybrids of the swing and bebop styles. Various Caribbean  elements appear in several well-known early swing compositions, including “The Peanut  Vendor” (19",429,False,True,False,True
20,improvisation,"audiences witness the intermingling of blues from the saxophones and  brass sections of the jazz orchestra, the musical language of bebop, including improvisation,  and a strong swing feel with the sound of traditional Pakistani instruments such as the bansuri,  tabla, and sitar, instruments which also have con",444,False,True,False,True
20,cross_cultural,"nts which also have connections with other South Asian traditions such  as Hindustani classical music and Carnatic music. Another recent example of a cross-cultural  music project is the collaboration between German Frankfurt Radio Big Band (hr-Bigband)  and the renowned Lebanese oud player Rabih Abou-Khalil, pla",444,False,True,False,True
21,cross_cultural,"evident in Africa, but if you look at Spain or  Scotland, India or China, you’ll discover this again in each case.6  Despite the numerous examples of cross-cultural jazz projects mentioned above, there still  remains a dearth of such hybrids of jazz and traditional Thai music, particularly with regard to  contemp",493,True,True,False,True
22,improvisation,"ttitudes of Thai classical                                                           9 Quoted in Paul Berliner, Thinking in Jazz: The Infinite Art of Improvisation, 120.",427,True,True,False,True
22,cross_cultural,"cultural appropriation of Thai music traditions, I also interviewed Somuek Saengarun, a  prominent Thai classical musician who has worked in several cross-cultural music projects both  in Thailand and overseas. This interview also revealed much about the attitudes of Thai classical",427,True,True,False,True
23,cross_cultural,"CHAPTER 1: Introduction      7  musicians toward musical hybridization or cross-cultural music works, the stylistic difference  between Thai classical music and other regional traditional Thai music, and some succ",409,True,True,False,True
25,cross_cultural,"rnative  rock, R&B, and hip-hop, to reflect my artistic perspective and personal influences.    1.5 THESIS STRUCTURE     Unlike previous Thai musical hybridity projects or cross-cultural Thai musical composition  studies12, the scope of this research project considers four regional Thai music practices (I",415,True,True,False,True
26,thai_mode,"ns to John Coltrane’s composition “Giant  Steps.” The second composition, “Nanapa,” uses several Thai classical music composition  techniques such as thang kro (tremolo), luk thao (sustained pitches), and luk lo luk kut (call and  response).  Chapter 4 examines the traditional music of northeast Thailand",408,True,True,False,True
26,improvisation,"en, phin,  pong lang, and klong hang. I then consider the concept of lai (similar to the notion of a mode) as  implemented in isan music, analyze the improvisation of khaen (bamboo mouth organ)  performance performed by Sombat Simlah, and illustrate pragmatic approaches to combining  the melodic lines of traditi",408,True,True,False,True
26,khaen,"e musical practice in this region, drawing on the work of Charoen  Chaichonphairote. I then discuss the idiomatic instruments of dontri isan, such as khaen, phin,  pong lang, and klong hang. I then consider the concept of lai (similar to the notion of a mode) as  implemented in isan music, analyze the im",408,True,True,False,True
26,cross_cultural,"itional techniques, and musical form. I situate these musical characteristics as vital to  this project, as they lend themselves well to processes of hybridization of Thai classical music  with jazz orchestra music. I then discuss two “prototype compositions” of mine, where I  experiment with applying pri",408,True,True,False,True
27,khaen,"pretation of northeast  Thailand, consisting of several remarkable traditional melodies and significantly influenced by  the idiomatic instruments of khaen and phin;  “Singora” (“Dance of Kinnari”), a contemporary  jazz orchestra piece, influenced by pi nora performances and illustrating the multicultura",396,True,True,False,False
28,cross_cultural,"eys of the region.14    In Chapter 8, I conclude with a final critical analysis and account of my musical experiences  while working on these musical hybridization projects. I reflect on the compositional  experiences when distinct musical elements collided, describe the obstacles that I encountered,  sug",370,True,True,False,True
29,cross_cultural,"ate the process of  making music that combines jazz (African American music traditions) with other musical  elements, I still consider that the term “cross-cultural” may be useful for readers to understand  how two distinct musical elements are integrated or to which degree those two musical  elements are combine",438,True,True,False,True
30,cross_cultural,"CHAPTER 1: Introduction      14  “cross-cultural” when referring to jazz compositions that provide a sense of interaction or  integration of distinct cultures, and “musical hybridization” or “hybrid",419,True,True,False,True
31,cross_cultural,"s I shall  highlight how cultural diversity influenced Thai music tradition’s musical practices in Chapter  3. To me, it seemed logical, in composing hybrid jazz I consider to be global, to start with Thai  musical traditions, since I am able to draw on Thai musical knowledge written in Thai or shared  ve",496,True,True,False,True
32,cross_cultural,"ving to develop his personal identity by reconciling his ancestor’s  legacy with his own beliefs.  In addition, my personal approach to these musical hybridizations  is that of a contemporary artist working in Thai music traditions and their innovative potential  rather than an artist seeking to adopt a p",388,True,True,False,True
33,cross_cultural,"17              Chapter 2  Cross-cultural Perspectives in Jazz: A  Review of Related Literature   I think there is a different flavor of jazz in different countries… It is very interesting, b",194,False,True,False,True
34,improvisation,"les with one  another. In addition, Manuel provides a comprehensive analysis of a solo by pianist Alex  Conde, a prominent flamenco jazz artist. This improvisation illustrates the use of idiosyncratic  jazz and flamenco elements as well as the application of the bulería rhythm over the chordal  resources of the",404,True,True,False,True
34,cross_cultural,CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      18  Cultural Revolution during the Phibulsongkhram regime. I also provide a brief observatio,404,True,True,False,True
35,improvisation,"strates successful cases in which the two musical  elements have been synthesized. For example, he discusses the adaptation of bebop language  in the improvisations of Jorge Pardo—a Spanish flute and saxophone player—and the  utilization of flamenco guitar approaches, such as alzapúa and picados which Chick Core",464,False,True,False,True
35,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      19  namely, “Saeta,” and “Soleá.” Crease then highlights a statement by Miles Davis regardin",464,False,True,False,True
36,cross_cultural,CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      20  harmonic possibilities. He combined of all of them in a sophisticated and integrated hyb,453,False,True,False,True
37,rhythm,"find alternative approaches to rhythmic concepts  in jazz.39 For example, Ellis explains “I learned from Harihar Rao how to superimpose  complicated rhythmic patterns on one another, ways of counting to be able to keep my place                                                           38Quoted in ibid., 242–243.",424,False,True,False,True
37,improvisation,"changes in season and natural landscape in Scandinavia, Garbarek evoked the sound of  tranquility—which contained strong Nordic musical roots—in his improvisations. According  to Nicholson, the music in Garbarek’s Dis (1977) also witnessed the use of a wind harp to  describe the sound of the Scandinavian landsc",424,False,True,False,True
37,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      21  which contain a mix of standard jazz repertoires with Swedish folk songs such as, “De Sa",424,False,True,False,True
38,improvisation,"Evans, trumpet player Phillip Slater, and  drummer Simon Barker, focusing on their assessments of the aesthetics of Australian jazz  performance and improvisation as well as on their musical experiences within the Sydney jazz  scene.    In his thesis, Rose also discusses the jazz orchestra composition he wrote",407,False,True,False,True
38,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      22  in a given cycle no matter how long or involved, and how to arrive at new rhythmic ideas",407,False,True,False,True
39,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      23  such as the Mirkov čoček, a Greek folk melody, and Indian melas (traditional scales). Ot",397,False,True,False,True
40,improvisation,"inamata (1976) and Kourakan Suite (1992), witness the  combination of utai (a specific noh musical technique) with the bebop language and collective  improvisation.49 Interestingly, Stowe refers to Kourakan Suite as a demonstration of Japanese  cultural pluralism. In this composition, Akiyoshi employed several m",435,False,True,False,True
40,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      24  just remains something else, that’s not what I’m trying to do.”47 As a consequence, Akiy",435,False,True,False,True
41,jazz_chord,"instrument, and the  application of improvisations by traditional instruments—such as the bonang, rebab, suling, and  tarompet—over Western harmonic chord progressions.   In terms of Krakatau’s artistic process, the authors highlight that Krakatau’s music, according  to Dharmawan, is the result of “acculturation” (",354,True,True,False,True
41,improvisation,"use of bonang, a Javanese gong chime, to  perform in particular musical contexts that are not synonymous with the instrument, and the  application of improvisations by traditional instruments—such as the bonang, rebab, suling, and  tarompet—over Western harmonic chord progressions.   In terms of Krakatau’s artis",354,True,True,False,True
41,cross_cultural,CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      25  Ethnomusicologists David Harnish and Jeremy Wallach discuss what they call “gamelan- ins,354,True,True,False,True
42,piphat,"minent Thai cross-cultural ensembles with M.L. Krab  Koonchorn and Pum Bapuyavat called the Snagkhet Samphan ensemble, whose utilization of  the Thai Mahori ensemble (string ensemble) and traditional Thai repertoires was integrated into                                                           53 Nathinee",489,True,True,False,True
42,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      26  points to the work of Jittapim Yamprai, “Music in Roman Catholic Mass of Thailand,”53 wh",489,True,True,False,True
43,thai_mode,"ral Thai compositional perspective include “Melody in the  Performance of Thai Classical Music on Non-Fixed-Pitch Instrument (2020)”, “Improvisation, Thang, and Thai  Musical Structure”, co-wrote with Bussakorn Binson (2018), “Competing Epistemologies of Tuning, Intonation,  Mawlam, and Jazz,” (2018) —an",468,True,True,False,True
43,improvisation,"n a cross-cultural Thai compositional perspective include “Melody in the  Performance of Thai Classical Music on Non-Fixed-Pitch Instrument (2020)”, “Improvisation, Thang, and Thai  Musical Structure”, co-wrote with Bussakorn Binson (2018), “Competing Epistemologies of Tuning, Intonation,  Mawlam, and Jazz,” (20",468,True,True,False,True
43,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      27  a big band setting.59 According to Kannaphon Yothinchatchawan, the Snagkhet Samphan  ens",468,True,True,False,True
44,thai_mode,"ng Jin Dok Mai,” which is performed by  the ranad ek (a Thai xylophone)—and Thai instrumental idioms, including the ti kep67 and rua68  techniques in thang ranat and contribute to the distinctly Thai sound.  Garzoli also discusses Fong Namm, one of the prominent cross-cultural ensembles in  Thailand. He",415,True,True,False,True
44,khaen,"Dok Mai,” which is performed by  the ranad ek (a Thai xylophone)—and Thai instrumental idioms, including the ti kep67 and rua68  techniques in thang ranat and contribute to the distinctly Thai sound.  Garzoli also discusses Fong Namm, one of the prominent cross-cultural ensembles in  Thailand. He discus",415,True,True,False,True
44,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      28  examining a case study of several contemporary cross-cultural music ensembles, which Gar",415,True,True,False,True
45,thai_scale,"Bruce Gaston or Jiradej Setabundhu. Chucherdwatanasak explains that the compositional  approaches of Dhamabutra predominantly consist of using Thai pentatonic melodies,  imitating the sound of Thai instruments, and employing compositional techniques from the  Neo-Romantic period—which plays a crucial role i",400,True,True,False,True
45,cross_cultural,CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      29  Thai compositions.71 He provides a comprehensive commentary on four of his original  com,400,True,True,False,True
46,cross_cultural,CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      30  northern folk melodies and imitating the sound of the northeastern musical instrument po,389,True,True,False,True
47,rhythm,"to write Thai  music, using examples such as meter adjustment, displaying the typical range of Thai  instruments in staff notation, as well as using luk tok (target pitches) to indicate Thai melodic  phrases. The author also highlights potential problems which may occur when using staff  notation to notat",388,True,True,False,True
47,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      31  recent projects of cross-cultural Thai jazz artists—e.g., the album Four Colors (2005) b",388,True,True,False,True
48,rhythm,"2  performed.79 In this research, Anant describes nathap (a Thai rhythmic cycle) and chan (Thai  ideal tempo) and provides an explanation of the Thai rhythmic patterns generated by taphon (a  two-headed drum mounted horizontally) in several different styles of Thai classical music. The  author then demonstrates pro",467,True,True,False,True
48,improvisation,"emonstrates the influence of Chinese theater (Chaozhou opera)                                                           79 Anant Narkkong, “Aspect of Improvisation in Thai Classical Drumming with special reference to the Taphon,”  Master’s thesis, University of London, (1992).  80 Somnuek Saengarun, “Transmissio",467,True,True,False,True
48,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      32  performed.79 In this research, Anant describes nathap (a Thai rhythmic cycle) and chan (",467,True,True,False,True
49,improvisation,"ugh historical contexts, descriptions of instruments of northeast Thailand,  and details of various musical genres). His dissertation illustrates the improvisation process of  the use of five basic modes called lai used in performance on the kaen (usually Romanized as  khaen)—a bamboo mouth organ—and then descri",464,True,True,False,True
49,khaen,"dissertation illustrates the improvisation process of  the use of five basic modes called lai used in performance on the kaen (usually Romanized as  khaen)—a bamboo mouth organ—and then describes the various styles used in a northeastern  form of song called mawlum (sometimes Romanized as mor lam, and,",464,True,True,False,True
49,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      33  on Thai theatrical performances, and describes one particular style of Thai composition—",464,True,True,False,True
50,ornamentation,"sic, using Western notation to do  so. 92 Here, Leangsomboon begins the musical analysis by demonstrating the scales, ranges,  melodic movements, and ornamentation implemented in homrong music performed by ten                                                           89 Bussakorn Sumrongthong Thai Musical Cultur",454,True,True,False,True
50,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      34  drumming), describes the collections of northern Thai melodies and their compositional",454,True,True,False,True
51,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      35  different nora musical ensembles in Nakhon Si Thammarat Province. In addition, Lawrence",401,True,True,False,True
52,piphat,"cant  role in the origin of the Snagkhet Samphan ensemble, one of the prominent cross-cultural  music ensembles, in which the utilization of the Thai Mahori ensemble and traditional Thai  repertoires mainly in Thai classical music was similarly integrated into a big band. John Garzoli  presents the case o",396,True,True,False,True
52,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      36  The employment of traditional music instruments, combined with the instrumentation of ja",396,True,True,False,True
53,cross_cultural,"CHAPTER 2: Cross-cultural Perspective in Jazz: A Review of Related Literature      37  artistic experience of previous cross-cultural jazz composers, demonstrate possible or p",100,True,True,False,True
54,cross_cultural,"composers. I don’t mean other things  when I say respect; rather, respect yourself for how much Thai classical music you know before  embarking on a cross-cultural project. So, once they’ve determined their level, they can select a  reasonable degree of Thai classical music knowledge to incorporate into their mu",229,False,True,False,True
57,khaen,"ulture of using Bamboo to manufacture instruments is one of the common cultures that can be  exchanged in the Southeast Asian mainland. For example, ‘khaen’, a traditional instrument of Laotian  and northeastern Thailand was also employed for performances in Siamese Courts in the Ayutthaya  period.108",394,True,False,False,False
59,ornamentation,"of other ethnic groups into Siamese territory. Notable displacements in this period  included the resettlement of Laos, Phu thai, Tai Dam, and Puan (พวน)—to name a few—all of  which took place during King Rama III’s reign (1809-1824).115 These groups of people were  forced to relocate from the east ba",498,True,False,False,False
61,khaen,"strument, that has a shape similar to a xylophone in Western music. The Ranad family  includes four instruments: ranad ek, ranad thum, ranad ek hlek (ระนาดเอกเหล็ก) and ranad thum hlek. The ranad ek  (predominated instrument) and ranad ek hlek (metallophone) can produce seven distinct sounds within three",436,True,True,False,False
62,timbre,"., 23  126 When attempting to build Thai instruments that use the Western tuning system (A=440), Thai musicians refer  to this system as sieng sakon (เสียงสากล). Ranad and khlui (a vertical block flute) are two of the instruments that are  typically built adopting the Western tuning system. These two ins",573,True,True,False,True
62,cross_cultural,al block flute) are two of the instruments that are  typically built adopting the Western tuning system. These two instruments are widely employed in cross-cultural  ensembles such as Thai fusion bands.,573,True,True,False,True
63,thai_mode,"cal Elements of dontri thai doem      47  expressive individuality (samniang), as well as the idiosyncratic characteristic of their ensembles  called thang.127     As previously stated, Thai idiophone instruments can produce seven distinct pitches, stretching  out in one octave ideally. These seven diffe",499,True,False,False,False
63,thai_scale,"ees produced  by Thai instruments, however, including 1, 2, 3, 5, and 6, can produce a sound relatively similar  to the structure of major (or minor) pentatonic scales from a Western perspective. (Please note  that Thai music compositions in the style of Mon called thang mon may employ the entire seven  pitch",499,True,False,False,False
64,thai_scale,"m a jazz perspective.    Based on these considerations of pitch for Thai instruments, as well as the comprehension that  Thai instruments can produce pentatonic scales, I transcribed a number of Thai classical  compositions, using tools of jazz analysis to identify the structures of their melodies with my  co",357,True,True,False,False
65,thai_scale,"CHAPTER 3: Identifying Musical Elements of dontri thai doem      49  In contrast to the major pentatonic melodies two previous pieces, “Lao Somdej” (Figure 3.3)133  features an approximation of the B minor pentatonic scale. The melodic parts of the A sec",391,True,True,False,False
67,thai_scale,"Figure 3.4: “Saen Kham Nung.” Transcription by the author.    One of the features of these lyrical Thai compositions is their use of major and minor  pentatonic scales in the construction of melodic motifs. Phichit Chaisaree, a prominent Thai",56,False,False,False,False
68,melody,"particular  melodic patterns that are repeatedly employed in these melodies. These patterns include (in  scale degrees, with arrows adding clarity of melodic contour, see also Figure 3.5):     1.  1 2 3 5 2 (twice),   2.  5 3 2 1 2 3 (three times),   3.  2 3 2 1 6¯ 5¯ (three times),   4.  5 6 1­ 2 ­ 1­ 6¯ (twice),",162,True,False,False,False
69,thai_mode,"tonic scale—including 1 2 3 5, 1 2 3 5 3, 1 3 2 1 6¯, and in  particular, 1 2 3 5 6—can also be widely observed in the set of melodic patterns called thang  (roughly equivalent to modes in Thai music), of which three out of seven modes have a similar  construction resembling pentatonic scales. 137 These",418,True,True,False,False
69,improvisation,"odic patterns play a significant role  in contributing a sound of Thai music in one of the standard forms used in jazz composition,  performance, and improvisation (Figure 3.6).     Other melodic patterns in a pentatonic scale—including 1 2 3 5, 1 2 3 5 3, 1 3 2 1 6¯, and in  particular, 1 2 3 5 6—can also be wi",418,True,True,False,False
69,thai_scale,"nd of Thai music in one of the standard forms used in jazz composition,  performance, and improvisation (Figure 3.6).     Other melodic patterns in a pentatonic scale—including 1 2 3 5, 1 2 3 5 3, 1 3 2 1 6¯, and in  particular, 1 2 3 5 6—can also be widely observed in the set of melodic patterns called thang",418,True,True,False,False
70,jazz_chord,"ure is another significant element of Thai classical music to consider in projects of  hybridization, particularly because of the absence of harmonic chord progressions (in contrast  to Western Music). Numerous independent musical voices often constitute textures in Thai  classical music, providing an abundance of s",162,True,False,False,True
70,cross_cultural,"4    Figure 3.6: “A Siamese Medley.”    TEXTURE    Musical texture is another significant element of Thai classical music to consider in projects of  hybridization, particularly because of the absence of harmonic chord progressions (in contrast  to Western Music). Numerous independent musical voices often",162,True,False,False,True
71,thai_mode,CHAPTER 3: Identifying Musical Elements of dontri thai doem      55  performing in an ensemble.140 The term in Thai music thang khrueang dontri (“style of  instrumental music”) refers to the specific idiosyncratic function that each musician in an  ensemble must carry out in o,472,True,True,False,False
71,improvisation,"cian performs the music based on the idiomatic way of playing  his or her particular instrument.      Much like jazz musicians who learn the skill of improvising over chord changes, musicians in  Thai classical music construct their melodic lines based on the sound produced by the khong  wong yai (gong circles",472,True,True,False,False
71,piphat,"140 There are three different types of instrument ensembles that mainly appear in Thai classical music. These are  the Piphat (a melodic percussion and reed instrument ensemble), Khruang Sai (a string ensemble), and Mahori, (a  diverse ensemble comprised of melodic percussio",472,True,True,False,False
72,rhythm,"orm plae thamnong techniques, a ranad ek player manages to produce the individual  musical line that simultaneously approaches the exact pitch of the luk tok (target pitch at the  end of a melodic line)142, which is outlined by the khong wong yai and must coincide with the  given beat provided in the “damp",351,True,True,False,False
72,thai_mode,"sical Elements of dontri thai doem      56  the principles of melodic organization laid out in the nuea phleng, the improviser is expected to create  thang [their melodic line, in the idiomatic style] that faithfully reproduces the referent’s melodic/rhythmic  quality and maintains its structural and aes",351,True,True,False,False
72,improvisation,"CHAPTER 3: Identifying Musical Elements of dontri thai doem      56  the principles of melodic organization laid out in the nuea phleng, the improviser is expected to create  thang [their melodic line, in the idiomatic style] that faithfully reproduces the referent’s melodic/rhythmic  quality and ma",351,True,True,False,False
73,rhythm,"3.7: Plae thamnong techniques. “o” refers to the undamped stroke called  ching, and “+” refers to the damped stroke called chap. Red circles indicate luk tok  (in this case, the note A).    The distinct character of thang ranad thum can be interpreted as joyful and effervescent in a Thai  musical sense. Be",282,True,True,False,False
73,thai_mode,"alled  ching, and “+” refers to the damped stroke called chap. Red circles indicate luk tok  (in this case, the note A).    The distinct character of thang ranad thum can be interpreted as joyful and effervescent in a Thai  musical sense. Because of its syncopated rhythmic feel and its musical embellishm",282,True,True,False,False
74,rhythm,"inag phasa.146 The performance of both thang ranad thum and thang pi nai in Thai  classical music textures are displayed in Figure 3.8 (note that the luk tok which is A must  coincide in all of the parts). 147                            Figure 3.8: Plae thamnong techniques of thang ranad ek, ranad thum, an",311,True,False,False,False
74,thai_mode,CHAPTER 3: Identifying Musical Elements of dontri thai doem      58  known as samninag phasa.146 The performance of both thang ranad thum and thang pi nai in Thai  classical music textures are displayed in Figure 3.8 (note that the luk tok which is A must  coincide in all of,311,True,False,False,False
75,improvisation,"150 Miller and Williams, The Garland Handbook of Southeast Asian Music, 147.  151 Narkkong, “Aspect of Improvisation in Thai Classical Drumming with special reference to the Taphon,” 72.  152 In addition to ching, krab, mong, chab, taphon, thon, rammana, klong that,",478,True,True,False,True
75,piphat,heterophonic or polyphonic may be dependent on what types of compositions are being  performed and by what types of ensembles. Terry Miller states:  Piphat music of theater and ceremony tends to be motivic and the differences in idioms among the  instruments rather great; but piphat music in sepha style,478,True,True,False,True
75,cross_cultural,"has not been met by a complete consensus among  Thai classical musicians, though it is widely used in Thai classical music research—in particular  in cross-cultural compositional aspects—and still remains the standard method for  international musicians working in Thai music studies. Moreover, for my research, th",478,True,True,False,True
76,rhythm,"lements of dontri thai doem      60  and 2) jangwa nathap (patterns related to drums in the thon category of goblet-shaped drums).153  In both forms, rhythmic patterns function as a musical gauge that must be synchronized to the  melodic structures during performances, and play a crucial role when composing Thai cl",436,True,True,False,False
77,rhythm,"he second concept, jangwa nathap, is notable in Thai classical music composition due to its  cyclical form. In jangwa nathap, the two distinctly Thai rhythmic patterns nathap propkai and  nathap song mai157 can provide useful means of understanding the framing of melodic phrases of  Thai music, which must be synchr",330,True,True,False,True
77,thai_mode,"rcussion  instruments, such as double-head barrel drums taphon or klong khaek, or on the pair of single- headed drums thon and rammana. The syllables thang, thing, ja, and jo are used to describe four  different types of sounds that constitute nathap patterns. Terry Miller has clearly demonstrated",330,True,True,False,True
77,cross_cultural,"lassical masters.  Therefore, such a musical genre must require deep respect, and special concentration which is may not suitable  for composing in a cross-cultural jazz context due to the issue of cultural appropriation, from my perspective.",330,True,True,False,True
