page,scale_type,match,context
21,modal,modal,"the particular  stage I find myself in, I seem to be going through a modal phase … There’s a lot of modal music that is  played every day throughout the world. It’s particularly evident in Africa, but"
23,modal,mode,chestra works. He also offered  his artistic perspective on the argument between traditionalism and modernism in the criticism  and perception of cross-cultural music.10   For the compositional analys
26,modal,mode,"o foreign cultures witnessed in Thai  music traditions. I also briefly discuss the formation of the modern Thai nation with reference  to the work of Sujit Wongthes, David K. Wyatt, Chris Baker, and P"
26,modal,mode,"n, phin,  pong lang, and klong hang. I then consider the concept of lai (similar to the notion of a mode) as  implemented in isan music, analyze the improvisation of khaen (bamboo mouth organ)  perfor"
26,thai_mode,thang,"The second composition, “Nanapa,” uses several Thai classical music composition  techniques such as thang kro (tremolo), luk thao (sustained pitches), and luk lo luk kut (call and  response).  Chapter"
26,lai,Lai Lom,"c approaches to combining  the melodic lines of traditional music of northeast Thailand, including “Lai Lom Phat Phrao,”  “Lai Nok Sai Bin Kham Thung (ลายนกไซบินข้ามทุ่ง),” and “Lai Teay Khong,” with"
26,lai,Lai Nok,"ng  the melodic lines of traditional music of northeast Thailand, including “Lai Lom Phat Phrao,”  “Lai Nok Sai Bin Kham Thung (ลายนกไซบินข้ามทุ่ง),” and “Lai Teay Khong,” with contemporary  jazz harm"
26,lai,Lai Teay,"Thailand, including “Lai Lom Phat Phrao,”  “Lai Nok Sai Bin Kham Thung (ลายนกไซบินข้ามทุ่ง),” and “Lai Teay Khong,” with contemporary  jazz harmony.     In Chapter 5, which discusses the traditional"
30,modal,mode,"n of my works, and state my position on Thai music traditions.   As a Thai student who grew up in a modern society in Bangkok, I learned the concept of Thai  identity through the standard Thai school"
31,modal,mode,"y, I assume that attempting to determine the border of such traditional music  practices by using a modern concept of national borders would be a major mistake, as I shall  highlight how cultural dive"
32,modal,mode,"into a musical language accessible to jazz practitioners. As a consequence, this is the  work of a modern Thai striving to develop his personal identity by reconciling his ancestor’s  legacy with his"
34,modal,mode,ements as well as the application of the bulería rhythm over the chordal  resources of the Phrygian mode.    Stephanie Stein Crease explores the significance of using a Spanish-influenced style in a j
34,phrygian,Phrygian,amenco elements as well as the application of the bulería rhythm over the chordal  resources of the Phrygian mode.    Stephanie Stein Crease explores the significance of using a Spanish-influenced sty
38,modal,modal,"tion of Australian’s  convict songs combined with jazz harmonies, blues-oriented pitch bending, and modal jazz.  Rose also integrates additional musical elements that he refers to as “non-Western mate"
43,thai_mode,Thang,"in the  Performance of Thai Classical Music on Non-Fixed-Pitch Instrument (2020)”, “Improvisation, Thang, and Thai  Musical Structure”, co-wrote with Bussakorn Binson (2018), “Competing Epistemologie"
44,thai_mode,thang,"ek (a Thai xylophone)—and Thai instrumental idioms, including the ti kep67 and rua68  techniques in thang ranat and contribute to the distinctly Thai sound.  Garzoli also discusses Fong Namm, one of t"
45,pentatonic,pentatonic,"nasak explains that the compositional  approaches of Dhamabutra predominantly consist of using Thai pentatonic melodies,  imitating the sound of Thai instruments, and employing compositional technique"
47,modal,modes,"orton, Panya Roongruang also analyses fundamental Thai  musical elements, including Thai tuning and modes, tempo, meter, texture, idioms, and styles  that are crucial from a compositional aspect.77 Ro"
49,modal,modes,s musical genres). His dissertation illustrates the improvisation process of  the use of five basic modes called lai used in performance on the kaen (usually Romanized as  khaen)—a bamboo mouth organ—
49,lai,lai used,res). His dissertation illustrates the improvisation process of  the use of five basic modes called lai used in performance on the kaen (usually Romanized as  khaen)—a bamboo mouth organ—and then desc
56,modal,Mode,"101 Ibid., 32.  102  Baker and Phongpaichit, A History of Ayutthaya: Siam in the Early Modern World, 203.  103 Ibid., 204.  104 Moro, “Thai music and Musicians in Contemporary: An ethnogr"
59,modal,MODE,"esult, this condition contributed significantly to  previous cultural exchange activities.114   THE MODERN THAI NATION  After the fall of Ayutthaya in 1767, the Siamese state was reestablished and dec"
59,modal,Mode,"n 1907, as quoted by Chris Baker and Pasuk  Phongpaichit, A History of Ayutthaya: Siam in the Early Modern World, X."
60,modal,mode,".117    Another important factor that reshaped the society, culture, and ultimately the borders of  modern Thailand was the loss of territory of the Siamese Kingdom between 1785 and 1909.  According t"
61,chromatic,chromatic,"khong wong yai, khong wong lek, and khong mon, and are capable of producing seven pitches  (without chromatic notes) within the range of two octaves. (Note: some of these pitches can go beyond two  oc"
63,pentatonic,pentatonic,"ing 1, 2, 3, 5, and 6, can produce a sound relatively similar  to the structure of major (or minor) pentatonic scales from a Western perspective. (Please note  that Thai music compositions in the styl"
63,diatonic,diatonic,"scale  degrees and between the 7th scale degree and the octave, which is a half-step interval in a  diatonic major scale, but much wider in typical Thai tunings. The other scale degrees produced  by T"
63,modal,modes,", such as thang khrueang dontri (instrumental music style),  thang nai (one of Thai classical music modes), thang lao (a musical accent), and thang krhu (the overall styles of a  particular teacher an"
63,major,major scale,"ne octave ideally. These seven different pitches appear to be dissimilar to the pitches  of Western major scales, especially when comparing the intervals between the 3rd and 4th scale  degrees and bet"
63,major,major scale,"grees and between the 7th scale degree and the octave, which is a half-step interval in a  diatonic major scale, but much wider in typical Thai tunings. The other scale degrees produced  by Thai instr"
63,thai_mode,thang,"ve individuality (samniang), as well as the idiosyncratic characteristic of their ensembles  called thang.127     As previously stated, Thai idiophone instruments can produce seven distinct pitches, s"
63,thai_mode,thang,s from a Western perspective. (Please note  that Thai music compositions in the style of Mon called thang mon may employ the entire seven  pitches when composing and performing.)128     To make Thai c
63,thai_mode,thang,"us able to                                                           127 Please note that the word “thang” has multiple meanings, such as thang khrueang dontri (instrumental music style),  thang nai ("
63,thai_mode,thang,"127 Please note that the word “thang” has multiple meanings, such as thang khrueang dontri (instrumental music style),  thang nai (one of Thai classical music modes), th"
63,thai_mode,thang,"the word “thang” has multiple meanings, such as thang khrueang dontri (instrumental music style),  thang nai (one of Thai classical music modes), thang lao (a musical accent), and thang krhu (the ove"
63,thai_mode,thang,"s thang khrueang dontri (instrumental music style),  thang nai (one of Thai classical music modes), thang lao (a musical accent), and thang krhu (the overall styles of a  particular teacher and school"
63,thai_mode,thang,"tal music style),  thang nai (one of Thai classical music modes), thang lao (a musical accent), and thang krhu (the overall styles of a  particular teacher and school).  128  Poonpit Amatayakul, “Talk"
64,pentatonic,pentatonic,"ions of pitch for Thai instruments, as well as the comprehension that  Thai instruments can produce pentatonic scales, I transcribed a number of Thai classical  compositions, using tools of jazz analy"
64,pentatonic,pentatonic,"uadruple-reed aerophone), which  constitute pitches that can be approximated to the key of G♭ major pentatonic. “Soi Sang  Dang” (Figure 3.2)132 is from a traditional work famously performed in tradit"
64,pentatonic,pentatonic,layed by ranad ek (wooden xylophone). The piece’s  melodic patterns approximate the key of B♭ major pentatonic.                                                              131 Figure 3.1 was transcri
65,pentatonic,pentatonic,"CHAPTER 3: Identifying Musical Elements of dontri thai doem      49  In contrast to the major pentatonic melodies two previous pieces, “Lao Somdej” (Figure 3.3)133  features an approximation of"
65,pentatonic,pentatonic,"elodies two previous pieces, “Lao Somdej” (Figure 3.3)133  features an approximation of the B minor pentatonic scale. The melodic parts of the A section  in this composition were transcribed from the"
67,pentatonic,pentatonic,"author.    One of the features of these lyrical Thai compositions is their use of major and minor  pentatonic scales in the construction of melodic motifs. Phichit Chaisaree, a prominent Thai"
69,pentatonic,pentatonic,"in jazz composition,  performance, and improvisation (Figure 3.6).     Other melodic patterns in a pentatonic scale—including 1 2 3 5, 1 2 3 5 3, 1 3 2 1 6¯, and in  particular, 1 2 3 5 6—can also be"
69,pentatonic,pentatonic,"to modes in Thai music), of which three out of seven modes have a similar  construction resembling pentatonic scales. 137 These modes consist of 1) thang phiang aw lang (G  A B D E), which is mainly"
69,pentatonic,pentatonic,"pi chawa  (quadruple-reed aerophone).138 Consequently, by understanding the use of the particular  pentatonic scales and patterns implemented in Thai classical music, composers can incorporate  chara"
69,modal,modes,"5 6—can also be widely observed in the set of melodic patterns called thang  (roughly equivalent to modes in Thai music), of which three out of seven modes have a similar  construction resembling pent"
69,modal,modes,"dic patterns called thang  (roughly equivalent to modes in Thai music), of which three out of seven modes have a similar  construction resembling pentatonic scales. 137 These modes consist of 1) thang"
69,modal,modes,"which three out of seven modes have a similar  construction resembling pentatonic scales. 137 These modes consist of 1) thang phiang aw lang (G  A B D E), which is mainly used in theatrical music (lak"
69,modal,modes,"137 Miller and Williams, The Garland Handbook of Southeast Asian Music, 142.  138 These modes patterns were derived from Phichit Chaiseri, “A Thai musical analysis,” Due to the intonation"
69,modal,modes,"ang phiang  aw lang (F G A C D) or thang phiang aw bon (B♭ C D F G). However, the patterns of these modes are still based  on the 1-2-3-5-6 construction.  139 See Appendix A.1 for a full lead sheet of"
69,thai_mode,thang,"6¯, and in  particular, 1 2 3 5 6—can also be widely observed in the set of melodic patterns called thang  (roughly equivalent to modes in Thai music), of which three out of seven modes have a similar"
69,thai_mode,thang,"even modes have a similar  construction resembling pentatonic scales. 137 These modes consist of 1) thang phiang aw lang (G  A B D E), which is mainly used in theatrical music (lakhon deuk damban)(ละค"
69,thai_mode,thang,"ng (G  A B D E), which is mainly used in theatrical music (lakhon deuk damban)(ละครดึกดําบรรพ์); 2) thang  phiang aw bon (C D E G A), which is often used in string ensembles; and 3) thang chawa (F G A"
69,thai_mode,thang,"รดึกดําบรรพ์); 2) thang  phiang aw bon (C D E G A), which is often used in string ensembles; and 3) thang chawa (F G A  C D), which is used in Thai ensembles when performing with an instrument called"
69,thai_mode,thang,"iversity in Thai classical music ensembles, these patterns can be transposed to other keys, such as thang phiang  aw lang (F G A C D) or thang phiang aw bon (B♭ C D F G). However, the patterns of thes"
69,thai_mode,thang,"mbles, these patterns can be transposed to other keys, such as thang phiang  aw lang (F G A C D) or thang phiang aw bon (B♭ C D F G). However, the patterns of these modes are still based  on the 1-2-3"
71,modal,mode,. The primary function of this layer of  musical structure is to act as a referent; the nuea phleng models the principles of musical organization  inherent in the song which the performer then follows
71,thai_mode,thang,Musical Elements of dontri thai doem      55  performing in an ensemble.140 The term in Thai music thang khrueang dontri (“style of  instrumental music”) refers to the specific idiosyncratic function
71,thai_mode,thang,"mbellishment a jazz musician might  employ in performance.     Another significant musical layer is thang ranad (style for keyboard percussion instruments),  which is typically divided into two catego"
71,thai_mode,thang,"yle for keyboard percussion instruments),  which is typically divided into two categories including thang ranad ek (style for higher-pitched  keyboard percussion instruments) and thang ranad thum (sty"
71,thai_mode,thang,categories including thang ranad ek (style for higher-pitched  keyboard percussion instruments) and thang ranad thum (style for lower-pitched keyboard  percussion instruments). It is the thang ranad e
71,thai_mode,thang,ruments) and thang ranad thum (style for lower-pitched keyboard  percussion instruments). It is the thang ranad ek that may mislead unfamiliar ears to consider it  as a fundamental melody when listeni
71,thai_mode,thang,istic sound being  clear and rhythmically concrete. One of the musical techniques used to construct thang ranad ek  is called plae thamnong (แปลทํานอง) (the performance methods for modifying main melo
72,thai_mode,thang,"inciples of melodic organization laid out in the nuea phleng, the improviser is expected to create  thang [their melodic line, in the idiomatic style] that faithfully reproduces the referent’s melodic"
72,thai_mode,thang,"ds on how ranad players are able to render the sound of luk khong, writing that “the beauty  of the thang of ranad’s variation is based on the performer [who] can bring together his/her  memory of the"
72,thai_mode,Thang,"141 John Garzoli and Bussakorn Binson, “Improvisation, Thang, and Thai Musical Structure,” Musicology Australia  40, no.12 (2018), 61-62.  142 Somneuk Saen"
73,thai_mode,thang,"called chap. Red circles indicate luk tok  (in this case, the note A).    The distinct character of thang ranad thum can be interpreted as joyful and effervescent in a Thai  musical sense. Because of"
73,thai_mode,thang,"tion into the Thai ensemble’s texture. From the  point of view of jazz composition, the function of thang ranad thum could be explained as a  counterpoint-maker, contributing interesting contrapuntal"
73,thai_mode,thang,"ic’s textures. Another plae thamnong technique that is prominent in Thai classical  performances is thang pi nai, the style of pi nai, a predominant reed instrument in Thai  ensembles. One of the main"
74,thai_mode,thang,g Musical Elements of dontri thai doem      58  known as samninag phasa.146 The performance of both thang ranad thum and thang pi nai in Thai  classical music textures are displayed in Figure 3.8 (not
74,thai_mode,thang,dontri thai doem      58  known as samninag phasa.146 The performance of both thang ranad thum and thang pi nai in Thai  classical music textures are displayed in Figure 3.8 (note that the luk tok wh
74,thai_mode,thang,"incide in all of the parts). 147                            Figure 3.8: Plae thamnong techniques of thang ranad ek, ranad thum, and pi nai.  Similar to other ethnomusicological studies of non-Western"
77,thai_mode,thang,"drums taphon or klong khaek, or on the pair of single- headed drums thon and rammana. The syllables thang, thing, ja, and jo are used to describe four  different types of sounds that constitute nathap"
78,thai_mode,Thang,"he “husband drum” refers to the higher-pitch drum), thon (the wife),  and rammana (the husband):    Thang: an undamped stroke on the center of the wife drum’s head with closed right- hand fingers.   T"
79,thai_mode,thang,"syncopated melodic lines and uneven melodic phrases. Nathap song mai is also characterized by  the thang, thin, jo, and ja sounds, just like nathap probkhai when performing klong khaek. In  compariso"
81,modal,mode,"In addition, I adapted nathap song mai song chan for the full woodwind and brass sections of a  modern jazz orchestra, to be played in homophonic rhythm during an improvised drum solo  (Figure 3.1"
81,modal,mode,"ical patterns in a more conceptually interesting way, I also employed  another musical technique of modern jazz orchestral composition: rhythmic displacement. One  example of this technique is in a pi"
82,modal,mode,"all living traditions, Thai classical music compositional approaches have adapted as the  world has modernized, and these approaches have become more comprehensive and"
83,thai_mode,thang,"composition today, compositional concepts can be  typically divided into three categories: bangkhap thang (fully composed, required to be performed  in the exact version of the composer), mai bangkhap"
83,thai_mode,thang,"hang (fully composed, required to be performed  in the exact version of the composer), mai bangkhap thang (composed only in terms of the main  structure and allowing performers to apply improvisation"
83,thai_mode,thang,"nd allowing performers to apply improvisation techniques called plae thamnong), and  keung bangkahp thang-mai bangkhap thang (กึ#งบังคับทาง-ไม่บังคับทาง)(partly performed according to the  composer’s"
83,thai_mode,thang,"ers to apply improvisation techniques called plae thamnong), and  keung bangkahp thang-mai bangkhap thang (กึ#งบังคับทาง-ไม่บังคับทาง)(partly performed according to the  composer’s exact version and p"
83,thai_mode,ทาง,"ovisation techniques called plae thamnong), and  keung bangkahp thang-mai bangkhap thang (กึ#งบังคับทาง-ไม่บังคับทาง)(partly performed according to the  composer’s exact version and partly allowing pe"
83,thai_mode,ทาง,"hniques called plae thamnong), and  keung bangkahp thang-mai bangkhap thang (กึ#งบังคับทาง-ไม่บังคับทาง)(partly performed according to the  composer’s exact version and partly allowing performers to i"
85,thai_mode,thang,"tion, is melodic variation. According to Uthit Naksawat, this melodic variation  approach, known as thang plien (ทางเปลี.ยน), is often used in works to develop new musical  concepts and evoke sensatio"
85,thai_mode,ทาง,"dic variation. According to Uthit Naksawat, this melodic variation  approach, known as thang plien (ทางเปลี.ยน), is often used in works to develop new musical  concepts and evoke sensations of surpris"
86,thai_mode,Thang,"CHAPTER 3: Identifying Musical Elements of dontri thai doem      70    Figure 3.17: Thang plien (melodic variations).    In addition to these three compositional techniques, Thai compo"
88,thai_mode,thang,"Western music. These approaches help express the  character of an ensemble, and include 1) tremolo (thang kro), 2) a broken fragment of a melody  (luk lo), 3) call and response (luk kut)173, 4) the me"
88,thai_mode,thang,"เหลื.อม), and 5) a combination of various instrumental techniques mainly used in solo  composition (thang khap luk khap dok)(ทางคาบลูกคาบดอก). For example, Thai composers widely  employ the tremolo te"
88,thai_mode,ทาง,"ation of various instrumental techniques mainly used in solo  composition (thang khap luk khap dok)(ทางคาบลูกคาบดอก). For example, Thai composers widely  employ the tremolo technique (thang kro) to cr"
88,thai_mode,thang,"p luk khap dok)(ทางคาบลูกคาบดอก). For example, Thai composers widely  employ the tremolo technique (thang kro) to create positive musical sensations (e.g.,  pleasantness and sweetness), in particular"
88,thai_mode,thang,roduction to a piece (Figure 3.21).    Figure 3.21: A typical introduction of “Khmen Sai Yok” using thang kro.  Transcription by the author.    Breaking up a fragment of a melody and providing the res
90,thai_mode,thang,e last compositional method of Thai classical music relevant to jazz composition is referred  to as thang khap luk khap dok (ทางคาบลูกคาบดอก). This technique helps composers balance the  compositional
90,thai_mode,ทาง,od of Thai classical music relevant to jazz composition is referred  to as thang khap luk khap dok (ทางคาบลูกคาบดอก). This technique helps composers balance the  compositional materials in Thai music.
90,thai_mode,thang,"าบดอก). This technique helps composers balance the  compositional materials in Thai music. To apply thang khap luk khap dok, which is widely utilized  in solo composition (phleng dio), Thai composers"
90,thai_mode,thang,"shift between instrumental ornaments—for  example, between single melodic pitch tremolo (rua), and thang kep (an instrumental technique  using a set of eight notes, mainly in an octave similar to pla"
90,thai_mode,Thang,extures that musically produce more complicated rhythmic ideas  and sophisticated melodic patterns. Thang khap luk khap dok also helps musicians of Thai  classical music to pay tribute to the mastery
90,thai_mode,thang,"them how to  practically utilize and musically organize such materials in the composition. Besides thang khap  luk khap dok, other techniques that appear in Thai compositional methods include the use"
92,thai_mode,thang,"rary jazz composition (Figure 3.26). The  introduction of this composition (A section), begins with thang kro (tremolo), widely found in  the introduction sections of Thai classical music pieces. This"
92,thai_mode,thang,"ed as being in luk lo (5/4 section) and luk kut (6/4  section). Lastly, I employ melodic variation (thang plien) in the F section, and include the ending  cadence pattern luk mot, to support the compo"
95,thai_mode,thang,"ntains no harmonic progression; instead, it is composed of multiple  distinct lines in the style of thang khrueang dontri. Thai musical textures can relate to idiomatic  heterophony or polyphonic stra"
95,thai_mode,thang,"building extended sections, such as an introduction (luk yon) or an outro (luk mot). In  addition, thang kro, luk leuam, luk lo, and luk kut all appear to be beneficial and provide distinct  techniqu"
96,modal,modes,"ich has provided  insight into my compositional work. Following that, I investigate the use of lai (modes in isan  nuea), discuss these modes’ distinctive meanings, and demonstrate some of the musical"
96,modal,modes,"mpositional work. Following that, I investigate the use of lai (modes in isan  nuea), discuss these modes’ distinctive meanings, and demonstrate some of the musical overlaps  between a particular lai,"
96,lai,lai se,"odes’ distinctive meanings, and demonstrate some of the musical overlaps  between a particular lai, lai se, and common elements of jazz performance. In addition, I include  my full transcription of “L"
96,lai,Lai Teay,"lai se, and common elements of jazz performance. In addition, I include  my full transcription of “Lai Teay Khong” performed by Sombat Simlah, the khaen master"
97,lai,Lai Ka,"ary works, I offer several compositional approaches for incorporating  isan nuea melodies, such as “Lai Ka Ten Kon” and “Lai Nok Sai Bin Kham Thung,” into jazz  compositions. To close the chapter, I b"
97,lai,Lai Nok,"veral compositional approaches for incorporating  isan nuea melodies, such as “Lai Ka Ten Kon” and “Lai Nok Sai Bin Kham Thung,” into jazz  compositions. To close the chapter, I briefly discuss a trad"
98,diatonic,diatonic,"82  4.2 PITCH AND INSTRUMENTS    The traditional music of northeastern Thailand uses a set of seven diatonic pitches similar to  those in Thai classical music, and its melodic structures are also pred"
98,diatonic,diatonic,"ach small pipe, located on the left  and right sides. The range of the instrument is the two-octave diatonic scale for a khaen paet  (with sixteen pipes in total on the two sides), which is commonly e"
99,pentatonic,pentatonic,"r pitches, the fingerings used to play a khaen  paet can be disorienting, but are effective for the pentatonic concepts and traditional melodies  of isan nuea (Figure 4.1).190     Figure 4.1: Khaen pa"
99,modal,mode,t multiple pipes on the same khaen  may produce the same pitch.189     The khaen paet (sixteen-pipe model) is the instrument that most frequently appears in isan nuea  performances. It is also capable
99,modal,modes,One of the most important  musical elements in isan nuea music is called lai. This term denotes the modes and melodic lines                                                           189 Sumrongthong e
100,modal,modes,"om khaen performance, with  isan nuea musicians identifying the concept as lai mae bot (fundamental modes).192 Experienced  or respected khaen players in communities are also appreciated as maw khaen,"
100,modal,mode,ises of any plastic products that are easily found in  communities. Phin players even sometimes use modern guitar picks to pluck the instrument’s  strings.
100,lai,lai mae,"o originally generated from khaen performance, with  isan nuea musicians identifying the concept as lai mae bot (fundamental modes).192 Experienced  or respected khaen players in communities are also"
100,lai,lai noi,"in each composition. For example, Chulalongkorn  University academics discovered the notion of the lai noi tuning system, which was founded in  Nong Kai Province and is tuned to D-A-G193—in contrast"
100,lai,lai noi,"h was founded in  Nong Kai Province and is tuned to D-A-G193—in contrast to Terry Miller’s study on lai noi,  from a different region where the instrument is tuned to A-D-A.194     Based on my work wi"
100,lai,Lai Pin,"94 Miller and Williams, The Garland Handbook of Southeast Asian Music, 172.  195 Apiruk Phoosanga, “Lai Pin lsan: Compositional Technique and Performance Styles of Thongsai Tuptanon  and Boomma Kaowon"
101,modal,mode,"sin Province. Thongsai Thabthanon’s  stylistic performance is regarded as one of the forerunners of modern phin performance, using  an electric phin (a phin with a pickup) in isan nuea ensembles. He i"
101,modal,mode,"most  rhythmically skilled phin performers in isan performance. Additionally, he produced numerous  modern isan nuea melodies still widely used in the phin repertoire.    Figure 4.2: “Lai Ka Ten Kon.”"
101,lai,Lai Ka,"nuea      85  To practically understand how the phin can function, I transcribed two solo pieces, “Lai Ka  Ten Kon (ลายกาเต้นก้อน)”196 (“crows dancing over the rocks”) by Thongsai Thabthanon—a phin"
101,lai,Lai Kaeo,"the rocks”) by Thongsai Thabthanon—a phin  master from Ubon Ratchathnai Province, (Figure 4.2) and “Lai Kaeo Na Ma (ลายแก้วหน้าม้า),”197  (“a house’s face”) live-recorded by Boomma Kaowong (Figure 4.3"
101,lai,Lai Ka,duced numerous  modern isan nuea melodies still widely used in the phin repertoire.    Figure 4.2: “Lai Ka Ten Kon.” Transcription by the author.
101,lai,Lai Ka,196 Figure 4.2 was transcribed from Thongsai Thabthanon’s performance of “Lai Ka Ten Kon” (0.00-0.29)  <https://www.youtube.com/watch?v=_DIi4Me1pG0> uploaded by Thongbass Tha
101,lai,Lai Kaeo,"Me1pG0> uploaded by Thongbass Thapthanon, (6 November  2021).  197 Boomma Kaowong’s performance of “Lai Kaeo Na Ma” in Figure 4.3 was transcribed from  <https://www.youtube.com/watch?v=2ZFZRmIkEuI> (1"
102,pentatonic,pentatonic,"s in Figures 4.2 and 4.3 demonstrate, phin performances are primarily based  on the construction of pentatonic scales, which in these cases are D and G minor pentatonic  scales. From a vertical compos"
102,pentatonic,pentatonic,"e primarily based  on the construction of pentatonic scales, which in these cases are D and G minor pentatonic  scales. From a vertical compositional perspective, these two transcriptions also illustr"
102,lai,Lai Kaeo,CHAPTER 4:  Investigating the Musical Aspects of dontri isan nuea      86    Figure 4.3: “Lai Kaeo Na Ma.” Transcription by the author.    As the transcriptions in Figures 4.2 and 4.3 demons
102,lai,Lai Kaeo,"from M2 and P4, and are equivalent to a  suspended chord in jazz harmony. In my transcriptions of “Lai Kaeo Na Ma” I have included  articulation marks to show various characteristics of phin performa"
102,lai,Lai Ka,"en performance, both compositions use drones  (sieng sep)—on the note D in the melodic patterns of “Lai Ka Ten Kon” and the note G in the  “Lai Kaeo Na Ma” melody. Both are also based on the penta-cen"
102,lai,Lai Kaeo,"ones  (sieng sep)—on the note D in the melodic patterns of “Lai Ka Ten Kon” and the note G in the  “Lai Kaeo Na Ma” melody. Both are also based on the penta-centric concept. In addition,  sixteenth no"
103,pentatonic,pentatonic,"consisted of six distinct wooden bars that produced five different sounds  that related to a major pentatonic scale (e.g., G A C D E).199 Pleuang Chairasmee (1932 -  2007),200 a national artist and a"
103,diatonic,diatonic,", the tuning system of pong lang was  modified to include the seven distinct pitches of the Western diatonic scale, allowing the  instrument to participate in Western music ensembles. (Figure 4.4 illu"
103,diatonic,diatonic,"tinct pong  lang tuning systems, consisting of traditional tuning, standard tuning, and seven-pitch diatonic  tuning.)     Figure 4.4: Pong lang tuning systems.    Unlike Western xylophones, whose bar"
104,pentatonic,pentatonic,"formance, drones on the pitch A are heard throughout, and the entire melody is  based on an A minor pentatonic scale. Similar to the performance on phin, upbeat accents are  also heard throughout the"
104,modal,Mode,"202 See, Priwan Nanongkham’s chapter, Influence of Modernization on Traditional music, “Modern Isan Music  as Image: A Positive Identity for the People"
104,modal,Mode,"202 See, Priwan Nanongkham’s chapter, Influence of Modernization on Traditional music, “Modern Isan Music  as Image: A Positive Identity for the People of Northeast Thailand,” PhD Diss., K"
104,lai,Lai Ka,"music scenes, called lum sing.202    For an example of pong lang, I transcribed a performance of “Lai Ka Ten Kon,” which is also  part of the typical repertoire for pong lang solo performance (Figur"
